SteamingTime,Steaming​​Cycle,DryingTime,Drying​​Cycle,AverageDryingTemperature,MoistureContent,EnergyConsumption,WaterExtractedPolysaccharide,AlkaliExtractedPolysaccharide,L,b,,raw
8,1,0,0,75,48.63313,17.46,60.13041,3.91084,22.496,0.354,MoistureContent,21.098
8,1,8,1,75,23.522,16.01,60.6449,3.03619,22.101,-0.305,EnergyConsumption,0
16,2,8,1,75,35.576,14.9,54.86536,5.68157,22.084,-0.97,WaterExtractedPolysaccharide,49.87472
16,2,16,2,75,14.844,11.86,44.06087,5.02559,21.606,0.58,AlkaliExtractedPolysaccharide,12.67019
24,3,16,2,75,27.05933,10.96,32.57038,6.53478,21.373,1.764,L,27.558
24,3,24,3,75,9.83,7.4,35.31438,5.96883,19.479,6.323,b,8.781
4,1,0,0,65,38.446,11.26,60.7821,2.73178,21.623,-1.539,,
4,1,8,1,65,24.698,9.5,60.7936,2.47635,22.121,0.585,,
8,2,8,1,65,26.382,7.89,57.12916,5.34715,22.027,-0.599,,
8,2,16,2,65,20.614,6.26,56.92336,4.44677,22.675,-0.405,,
12,3,16,2,65,27.612,7.65,55.08831,5.56581,22.013,-1.351,,
12,3,24,3,65,17.342,5.88,52.77306,4.7126,22.518,-0.22,,
16,4,24,3,65,18.956,7.62,49.72037,5.49292,23.083,0.42,,
16,4,32,4,65,14.238,5.68,46.63337,4.17849,21.64,1.783,,
20,5,32,4,65,20.255,7.5,43.42632,5.83592,21.116,0.408,,
20,5,40,5,65,11.684,5.54,40.16782,5.71159,18.745,4.021,,
24,6,40,5,65,21.166,7.45,32.46748,5.97741,22.297,2.148,,
24,6,48,6,65,12.46,5.46,32.39888,6.67381,16.344,4.425,,
4,1,0,0,55,42.43143,12.18,64.40075,2.62427,22.033,-0.394,,
4,1,8,1,55,30.12811,11.46,60.66205,4.28814,21.469,-1.133,,
8,2,8,1,55,37.9,11.58,58.15816,2.99299,20.646,-0.813,,
8,2,16,2,55,28.594,10.78,57.02626,2.71645,21.64,0.197,,
12,3,16,2,55,32.575,10.65,54.47091,4.69116,21.246,-0.567,,
12,3,24,3,55,22.85833,9.74,51.26386,4.29671,22.255,0.792,,
16,4,24,3,55,30.32743,10.14,49.94331,4.12704,20.881,0.821,,
16,4,32,4,55,19.425,8.13,38.65863,6.1532,20.14,3.163,,
